BR,En,Hun
wayne,Wayne,Wayne
adolescente,adolescent,serdülő
houvesse,had,volt
avisei,warned,figyelmeztetett
curar,heal,gyógyít
poço,pit,gödör
unidades,units,egységek
acreditava,believed,hitt
joseph,Joseph,József
identificação,identification,azonosítás
derek,Derek,Derek
cavaleiro,knight,lovag
salto,heel,sarok
visitas,visits,látogatások
edward,Edward,Edward
jaqueta,jacket,dzseki
desejar,to wish,kívánni
ethan,Ethan,Ethan
up,UP,FEL
interessada,interested,érdekelt
cigarros,cigarette,cigaretta
duplo,double,kettős
destruído,destroyed,elpusztult
calado,shut up,fogd be
lewis,Lewis,Lewis
dick,dick,fasz
decidimos,we decided,döntöttünk
apagar,to switch off,kikapcsolni
produtos,products,Termékek
daquelas,those,azok
medida,measure,intézkedés
tradição,tradition,hagyomány
assustar,scare,megijeszt
nicole,nicole,nicole
enganou,deceived,becsapott
esquadrão,squad,osztag
possui,it has,van
rodas,wheels,kerekek
fofo,cute,aranyos
conde,count,számol
tava,it was,ez volt
descanso,rest,pihenés
tentaram,tried,megpróbálta
espião,spy,kém
queixa,complaint,panasz
amável,kind,kedves
jo,jo,jous
operações,operations,tevékenységek
coelho,rabbit,nyúl
besta,beast,vadállat
achando,finding,lelet
contratou,hired,bérelt
passam,pass,elhalad
coleção,collection,Gyűjtemény
gostando,liking,szeretet
média,average,átlagos
nuclear,nuclear,nukleáris
stephen,Stephen,István
setembro,September,szeptember
lidando,delay,késleltetés
esperta,smart,Okos
olivia,Olivia,Olivia
análise,analysis,elemzés
recepção,Front desk,Recepció
russell,Russell,Russell
estivemos,We were,Voltunk
tristeza,sadness,szomorúság
patrão,boss,főnök
cancelar,cancel,megszünteti
miami,miami,Miami
autoridades,authorities,hatóság
maquiagem,makeup,smink
apuros,trouble,baj
índios,Indians,Indiánok
escolhido,chosen,választott
desenho,design,tervezés
gostaríamos,we would like,szeretnénk
morrem,MEA,Mérőeszköz
vizinhança,neighborhood,szomszédság
aérea,aerial,légi
voltaram,returned,visszatért
emocionante,exciting,izgalmas
nancy,Nancy,Nancy
influência,influence,befolyás
marco,March,március
guia,guide,útmutató
salada,salad,saláta
martha,martha,Martha
dente,tooth,fog
gata,cat,macska
faltam,missing,hiányzó
ann,Ann,Ann
apoiar,support,támogatás
jacob,jacob,Jákób
shawn,Shawn,Shawn
esperam,wait,várjon
aceitou,accepted,elfogadott
observando,observing,megfigyelés
raios,rays,sugarak
largar,drop,csepp
comissário,commissioner,biztos
dificuldade,difficulty,nehézség
arroz,rice,rizs
tirem,take off,levesz
ashley,Ashley,Ashley
atriz,actress,színésznő
negar,to deny,tagadni
toby,toby,Toby
alteza,hatch,nyílás
perderam,They lost,Veszítettek
países,countries,országok
prática,practice,gyakorlat
rude,rude,durva
ganhando,winning,nyerő
dívida,debt,adósság
população,population,népesség
levaria,would take,elvenné
comemorar,celebrate,ünnepel
infantil,childish,gyerekes
dirige,drive,hajtás
objeto,object,tárgy
cidadãos,citizens,polgárok
fingindo,Pretending,Színlelő
agenda,schedule,menetrend
mova,MOVA,Mova
incríveis,incredible,hihetetlen
seguiu,followed,követte
nelson,Nelson,Nelson
honesta,honestal,őszinte
deitar,to lie down,lefeküdni
identificar,identify,azonosítani
by,by,által
vince,vince,Vince
adianta,advance,előleg
teus,your,a te
aumento,increase,növekedés
encontrará,will find,fog találni
escritor,writer,író
ajudaria,would help,segítene
desconhecido,unknown,ismeretlen
bandidos,bandits,banditák
conferência,conference,konferencia
sangrando,bleeding,vérzés
descobrimos,We discovered,Felfedeztük
amanhecer,dawn,hajnal
laranja,orange,narancs
natalie,Natalie,Natalie
espanhol,Spanish,spanyol
existência,existence,létezés
damos,we give,adunk
negociar,Negotiate,Tárgyal
venceu,won,nyerte
atividade,activity,tevékenység
matthew,Matthew,Máté
ellen,Ellen,Ellen
genial,genial,derűs
drama,drama,dráma
espanha,Spain,Spanyolország
treinar,to train,edzeni
demos,demos,demók
realizar,accomplish,"megvalósítani, végrahajt"
apressar,rush,rohanás
efeitos,effects,hatások
solar,solar,nap
miserável,miserable,nyomorult
assusta,scare,megijeszt
próximas,nearby,Közeli
lançamento,launch,dob
adivinha,he guesses,Találja
petróleo,Petroleum,Petróleum
símbolo,symbol,szimbólum
caos,chaos,káosz
caneta,pen,toll
mortas,dead,halott
curta,short,rövid
trabalhadores,workers,munkavállalók
informar,inform,tájékoztat
holly,Holly,Magyal
descanse,take a rest,Pihenj
dano,damage,kár
sagrado,sacred,szent
manteiga,butter,vaj
sobrinho,nephew,unokaöcs
geladeira,refrigerator,hűtőszekrény
sofrendo,suffering,szenvedő
deixará,let,enged
verifique,check,jelölje be
suja,dirty,piszkos
atingido,hit,találat
salve,Save,Megment
conjunto,set,készlet
primeiras,first,első
parentes,relatives,rokonok
cerebral,cerebral,agyi-
fraude,fraud,csalás
comissão,commission,jutalék
condicional,conditional,feltételes
tecnicamente,technically,technikailag
testemunhar,testify,tanúsít
prepare,prepare,készít
professores,teachers,tanárok
demora,delay,késleltetés
caia,kaia,Kaia
chegado,arrived,megérkezett
haveria,there,ott
cabine,cabin,kabin
séculos,centuries,évszázadok
prima,cousin,unokatestvér
meias,socks,zokni
confessar,to confess,hogy bevallom
despedir,disqualify,kizár
saibam,know,tud
liz,Liz,Liz
solteiro,single,egyetlen
aguento,abate,alábbhagy
terror,horror,borzalom
tragédia,tragedy,tragédia
cadela,bitch,kurva
leão,lion,oroszlán
planejado,planned,tervezett
parecendo,like,mint
armado,armed,fegyveres
levam,lead,vezet
funcionários,employees,alkalmazottak
compre,buy,megvesz
sócio,partner,partner
ron,ron,ron
ex,ex,volt
treino,training,kiképzés
castigo,punishment,büntetés
dose,dose,dózis
lama,mud,sár
assinatura,signature,aláírás
abertos,open,nyisd ki
combinação,combination,kombináció
encontraremos,we will find,Meg fogjuk találni
ótimas,great,nagy
criação,creation,Teremtés
festival,festival,fesztivál
ensaio,rehearsal,próba
jonathan,Jonathan,Jonathan
miles,Miles,Mérföld
movimentos,movements,mozgások
gus,Gus,Gus
túmulo,tomb,síremlék
cachorros,dogs,kutyák
tentado,tried,megpróbálta
julgar,to judge,ítélni
suspeitos,suspect,gyanúsított
teddy,Teddy,Mackó
caroline,Caroline,Karolin
voltaremos,We will return,Visszatérünk
ás,to the,hoz
intervalo,interval,intervallum
bruxas,witch,boszorkány
resistir,resist,ellenáll
usada,used,használt
animada,lively,élénk
doc,doc,dokumentum
juventude,youth,ifjúság
sacrifício,sacrifice,áldozat
falarei,I will speak,beszélni fogok
procurei,I searched,Kerestem
diamantes,diamonds,gyémántok
político,political,politikai
musical,musical,zenei
únicos,unique,egyedi
perfil,profile,profil
ficarem,stay,marad
amigão,Buddy,haver
demitido,fired,kirúgott
policia,police,rendőrség
doze,twelve,tizenkét
técnico,technician,technikus
velhas,old,régi
sabor,flavor,aroma
foco,focus,fókusz
inveja,envy,irigység
grátis,free,ingyenes
francis,Francis,Francis
mencionar,to mention,megemlíteni
cemitério,cemetery,temető
mandando,sending,küldés
devêssemos,we should,nekünk kellene
viesse,come,jön
sermos,be,lenni
testar,test,teszt
cientista,scientist,tudós
diane,Diane,Diane
paguei,I paid,fizettem
protesto,protest,tiltakozás
margaret,Margaret,Margaret
mereço,I deserve it,megérdemlem
namorados,lovers,szerelmesek
chore,chorel,kóbor
sairá,will leave,elhagyja
berlim,Berlin,Berlin
ferramentas,tools,szerszámok
tratado,treated,kezelt
suave,soft,puha
lentamente,slowly,lassan
vestindo,dressing,öltözködés
pedimos,We asked,Megkérdeztük
maio,May,Lehet
aconteceria,would happen,megtörténhet
procedimento,procedure,eljárás
gorda,fat,zsír
anjos,angels,angyalok
lançar,to throw,dobni
fotografia,photography,fényképezés
cometi,committed,elkötelezett
nuvens,clouds,felhők
bancos,banks,bankok
julho,July,július
spencer,spencer,csésze
vêem,see,lát
folha,sheet,lemez
viveu,lived,élt
cocaína,cocaine,kokain
francamente,quite frankly,őszintén szólva
logan,logan,Logan
culpada,guilty,bűnös
águas,waters,vizek
jogadores,players,játékosok
estupro,rape,erőszak
leitura,reading,olvasás
vozes,voices,hang
sincero,honest,becsületes
terreno,ground,talaj
banheira,bathtub,fürdőkád
whoa,whoa,ki
espíritos,spirits,szellemek
what,What,Mit
pílulas,pills,tabletták
trinta,thirty,harminc
parceiros,partner,partner
grama,gram,gramm
brinquedos,toys,játékok
gentileza,kindness,kedvesség
bebeu,drank,ivott
ganhamos,We won,Nyertünk
lois,lois,lois
owen,Owen,Owen
italiano,Italian,olasz
representa,represents,képvisel
mostrando,showing,bemutatás
indústria,industry,ipar
terroristas,terrorists,terroristák
larga,wide,széles
ken,Ken,Ken
termine,finish,Befejez
formar,to form,alkotnak
investigando,investigating,nyomozó
sra,Mrs,Asszony
abandonou,abandoned,elhagyatott
autorização,authorization,engedélyezés
liam,Liam,Liam
aaron,aaron,Áron
saem,leave,elhagy
rotina,routine,rutin
famosa,famous,híres
química,chemical,kémiai
lauren,Lauren,Lauren
hill,hill,hegy
crescendo,growing,növekvő
promete,promises,ígéretek
luvas,gloves,kesztyű
arrancar,rip out,kitép
fascinante,fascinating,elbűvölő
escutando,listening,hallgatás
estrutura,structure,szerkezet
cinzas,ashes,hamu
terrorista,terrorist,terrorista
elena,Elena,Elena
grau,degree,fokozat
sue,sue,perel
pecados,sins,bűnök
empresas,companies,társaságok
xixi,pee,pisil
dennis,Dennis,Dennis
mama,mama,mama
folhas,sheets,ágynemű
ho,Ho,Ho
williams,Williams,Williams
dobro,double,kettős
concurso,contest,verseny
conhecida,well -known,jól ismert
imploro,beg,könyörög
questões,questions,kérdés
trânsito,Traffic,Forgalom
álibi,alibi,alibi
reverendo,reverend,tisztelendő
arruinar,ruin,ROM
circo,circus,cirkusz
felizmente,happily,boldogan
importam,care,gondoskodás
notou,noticed,megjegyezte
tais,such,ilyen
arrepender,to repent,megbánni
elegante,elegant,elegáns
reconhecer,to recognize,felismerni
peru,Peru,Peru
incomum,unusual,szokatlan
pedro,Pedro,Pedro
xícara,cup,csésze
ma,bad,rossz
escreva,Write,Ír
chamava,called,hívott
centavo,penny,penny
perdidos,lost,elveszett
know,Know,Tud
doentes,sick,beteg
marshall,Marshall,Marshall
ficarmos,be,lenni
visse,see,lát
apertar,to tighten,Húzni
sammy,sammy,Sammy
malcolm,Malcolm,Malcolm
reclamar,complain,panaszkodik
confusa,confused,zavaros
sentença,verdict,ítélet
ocasião,occasion,alkalom
clássico,classic,klasszikus
conselhos,advices,tanácsok
azar,bad luck,balszerencse
plástico,plastic,műanyag
esperado,expected,várt
descoberta,discovery,felfedezés
repórter,news reporter,híradós tudósító
escravos,slaves,rabszolgák
rocha,rock,szikla
advogada,attorney,ügyvéd
maçã,litter,szemét
combinado,Combined,Kombinált
vende,sell,elad
exposição,exhibition,kiállítás
escondeu,hidden,rejtett
gabinete,cabinet,szekrény
gene,gene,gén
ideal,ideal,ideál
contratar,to hire,felbérelni
ingressos,tickets,jegyek
patrulha,patrol,járőr
mídia,media,média
quilos,pounds,font
existir,exist,létezik
líderes,leaders,vezetők
carrie,Carrie,Carrie
notei,I noticed,észrevettem
entregou,delivered,kiszállított
sonhando,dreamed,álmodott
independente,independent,független
joguei,I played,játszottam
séria,he would be,ő lenne
custo,cost,költség
células,cells,sejtek
protegendo,protecting,védelem
louise,Louise,Louise
viajando,traveling,utazó
linguagem,language,nyelv
rezar,to pray,imádkozni
impressões,impressions,benyomás
precisará,will need,szükség lesz
preste,pay,fizetés
beco,alley,sikátor
roubei,Steal,Lop
tatuagem,tattoo,tetoválás
rodada,round,kerek
irritado,irritated,irritált
caçador,Hunter,Vadász
perdedor,loser,vesztes
vivia,lived,élt
passaporte,passport,útlevél
walker,walker,járóka
pouca,few,kevés
seios,breasts,mellek
riley,Riley,Riley
computadores,computers,számítógépek
letras,letters,betűk
unhas,nails,köröm
setor,sector,ágazat
antigas,old,régi
tecido,tissue,szövet
origem,origin,eredet
colocaram,put,elhelyez
grato,grateful,hálás
cansei,tired,fáradt
little,little,kis
escolhe,chosen,választott
aço,steel,acél
rob,Rob,Kirabol
empregada,employee,munkavállaló
frequência,frequency,frekvencia
desagradável,unpleasant,kellemetlen
pretendo,I aim,én célzok
preocupados,worried,aggódó
emprestado,borrowed,kölcsönzött
crer,believe,hinni
formos,we,mi
acreditei,I believed,azt hittem
selva,jungle,dzsungel
trago,dislodge,eltávolít
diana,Diana,Diana
aproximar,approach,megközelítés
privacidade,privacy,magánélet
prometa,promise,ígéret
desista,Give up,Felad
boba,fool,bolond
truques,tricks,trükkök
pintar,to paint,festeni
cardíaco,cardiac,szív-
sobrou,leftover,maradék
odiar,to hate,utálni
acordada,agreed,egyetért
movendo,moving,mozgó
reuniões,meetings,találkozók
roteiro,road map,ütemterv
detetives,detectives,nyomozók
coluna,column,oszlop
morrerá,will die,meg fog halni
just,Just,Éppen
shane,shane,Shane
ll,LL,Ll
solto,loose,laza
amarelo,yellow,sárga
igualmente,equally,egyaránt
entramos,we enter,belépünk
chamadas,calls,hívás
u,u,u
aguente,cannon,ágyú
velas,candles,gyertyák
preparados,prepared,előkészített
ciente,aware,tudatában van
mudado,moved,mozgatott
civis,civilian,polgári
profundamente,deep,mély
tapete,mat,szőnyeg
pesada,heavy,nehéz
separados,separated,elválasztott
gravidade,gravity,gravitáció
vomitar,to vomit,hányni
esclarecer,to clarify,tisztázni
mickey,Mickey,Mickey
ruth,Ruth,Ruth
junho,June,június
viagens,trips,kirándulások
trouxeram,they brought,ők hoztak
entendemos,We understand,Értjük
relatórios,reports,jelentések
depoimento,testimony,bizonyság
trazendo,bringing,hozás
ignorar,ignore,figyelmen kívül hagyni
gatilho,kitten,cica
naves,naves,haditengerészet
sobe,upon,esetén
posse,possession,birtoklás
passageiros,passengers,utasok
assine,sign it,írd alá
atualmente,at the moment,pillanatnyilag
tomada,outlet,kimenő kimenő
white,white,fehér
conseguirá,will get,kapni fog
piedade,pity,kár
sugere,suggests,javasol
gritos,screams,sikít
voltaria,return,Visszatérés
harold,Harold,Harold
fiança,bail,óvadék
rumo,course,tanfolyam
batida,crash,ütközés
secretário,secretary,titkár
mason,Mason,Kőműves
transmissão,streaming,folyó
tivermos,we have,nekünk van
raro,rare,ritka
jurados,jurors,esküdtek
tragam,bring,hoz
reunir,get together,összejönni
recente,recent,friss
lê,read,olvas
bati,I bass,I BASS
selvagens,wild,vad
transformou,transformed,átalakult
aproximando,approaching,közeledik
prometer,promise,ígéret
filmar,shine,ragyog
alegre,happy,boldog
docinho,candy,cukorka
troco,change,változás
altos,tall,magas
las,las,las
riscos,scratchs,karcolások
mandaram,sent,küldött
janet,Janet,Janet
lembrança,memory,memória
nora,daughter in law,Jogi lánya
atenda,attendance,részvétel
abril,April,április
apostas,betting,fogadás
gays,gay,meleg
escala,scale,skála
abertura,opening,Nyítás
muro,wall,fal
palpite,guess,Találd ki
luto,grief,bánat
brinquedo,toy,játék
colocamos,we put,rakjuk
gado,cattle,marha
enterrado,buried,eltemetett
federais,federal,szövetségi
soco,punch,puncs
risos,laughter,nevetés
firma,firm,cég
celebrar,to celebrate,ünnepelni
craig,craig,craig
fantástica,fantastic,fantasztikus
luxo,Lux,Lux
suficientes,sufficient,elegendő
anthony,Anthony,Antal
telefonema,phone call,telefon hívás
puxe,Pull,Húzni
planta,plant,növény
quinn,quinn,quinn
portal,portal,portál
tornando,render,Vakol
derrotar,to defeat,legyőzni
parto,childbirth,szülés
harris,Harris,Harisi
pudermos,we can,tudunk
machucado,bruised,zúzott
gravata,tie,nyakkendő
taxa,rate,mérték
figura,figure,ábra
fecha,closed,zárva
finais,final,végső
raymond,Raymond,Raymond
libertar,release,kiadás
custar,to cost,költségre
earl,Earl,Gróf
drinque,drink,ital
pague,Pay,Fizetés
confiante,trusting,bizakodó
barbara,Barbarian,Barbár
meta,goal,cél
seca,dry,száraz
atingir,to achieve,elérni
solteira,single,egyetlen
queimando,Burning,Égő
voltado,turned,fordult
sexuais,sexual,szexuális
horríveis,horrible,szörnyű
recusar,refuse,megtagadja
christina,Christina,Krisztina
seco,dry,száraz
radiação,radiation,sugárzás
estudando,studying,tanul
imaginando,imagine,Képzeld el
green,green,zöld
trazido,brought,hozott
victoria,victory,győzelem
físico,physicist,fizikus
rumores,rumors,pletykák
admito,admit,beismerni
franceses,French,Francia
achado,finding,lelet
encontros,dating,randevúzás
odiava,hated,gyűlölt
vampiros,vampire,vámpír
tiroteio,shooting,lövés
buracos,holes,lyukak
vos,you,te
cresci,I grew,nőttem
explodiu,exploded,felrobbant
faziam,did,csinált
transferência,transfer,átruházás
dica,tip,tipp
descendo,going down,lemenni
sobremesa,dessert,desszert
beisebol,baseball,baseball
capitã,captain,kapitány
porcos,pigs,sertés
concordou,agreed,egyetért
neil,neil,neil
amada,loved,szeretett
meios,means,eszközök
atende,he meets,találkozik
house,"Casa, Lar","Casa, lar"
machuque,bump,ütődés
capítulo,chapter,fejezet
alienígena,alien,idegen
baleado,shot,lövés
falhou,failed,nem sikerült
travis,travis,travis
with,with,val vel
senha,password,Jelszó
lane,lane,sáv
concordamos,We agree,Egyetértünk
like,like,mint
lindos,beautiful,gyönyörű
vampiro,vampire,vámpír
dólar,dollar,dollár
outubro,October,október
iniciar,start,Rajt
estiveram,were,voltak
acreditou,believed,hitt
economia,economy,gazdaság
distrito,District,Kerület
encontrada,found,megtalált
entraram,entered,belépett
proibido,prohibited,tiltott
manteve,kept,tartotta
crânio,skull,koponya
revelar,to reveal,felfedni
esconde,Hides,Elrejt
samantha,Samantha,Samantha
psiquiatra,psychiatrist,pszichiáter
repito,reputation,hírnév
caminhada,walk,séta
zoe,ZOE,Zoe
preparada,ready,kész
exercício,exercise,gyakorlat
connor,connor,connor
escutei,I heard,hallottam
estaríamos,we would be,lennénk
costume,custom,egyedi
gibbs,Gibbs,Gibbs
explique,explain,elmagyaráz
mudam,change,változás
mochila,schoolbag,iskolatáska
patético,pathetic,szánalmas
couro,leather,Bőr
sombras,shadow,árnyék
levem,take,vesz
trilha,trail,nyom
atmosfera,atmosphere,légkör
angel,angel,angyal
tensão,voltage,feszültség
preta,black,fekete
deter,hold,tart
elliot,Elliot,Elliot
novidades,news,hírek
dorothy,Dorothy,Dorothy
terríveis,terrible,szörnyű
menores,minors,kiskorú
consequências,consequences,következmények
escolhas,choices,választás
audição,hearing,meghallgatás
objetos,objects,tárgyak
testemunho,a testimony,bizonyságtétel
testamento,testament,végrendelet
mentes,mind,ész
razoável,reasonable,ésszerű
canalha,scoundrel,gazember
prioridade,priority,kiemelten fontos
lincoln,lincoln,Lincoln
carla,carla,Carla
emocional,emotional,érzelmi
joan,Joan,Joan
fracasso,failure,kudarc
wow,wow,Azta
pasta,folder,mappa
contagem,score,pontszám
bondade,kindness,kedvesség
azuis,blue,kék
poderão,may,lehet
tubo,pipe,cső
sobrevivência,survival,túlélés
amostras,samples,minták
marte,Mars,Mars
but,butt,csikk
trauma,trauma,sérülés
eleição,election,választás
sujeira,dirt,piszok
moedas,coins,érmék
voltarmos,back,vissza
lojas,stores,áruházak
r,R,R -tól
ira,will,akarat
profissão,profession,szakma
traficante,drug dealer,drogkereskedő
aguarde,wait,várjon
insetos,insects,rovarok
gravar,to record,rögzíteni
navios,ships,hajók
roubaram,stole,stóla
páginas,pages,oldalak
viúva,widow,özvegy
vingar,avenge,megbosszul
empregados,employees,alkalmazottak
basquete,basketball,kosárlabda
apertado,tight,szoros
sobreviveu,survived,túlélt
esperanças,hope,remény
criada,created,létrehozott
divertida,funny,vicces
nº,nº,nº
evan,Evan,Evan
quebrada,broken,törött
empréstimo,loan,hitel
esporte,sport,Sport
aguenta,cannon,ágyú
megan,megan,Megan
allison,Allison,Allison
pareça,appear,megjelenik
alicia,Alicia,Alicia
jogado,played,lejátszott
importava,imported,importált
kit,kit,készlet
documento,document,dokumentum
vendedor,seller,eladó
descoberto,uncovered,fedetlen
barra,bar,rúd
trono,throne,trón
confiável,reliable,megbízható
caixão,coffin,koporsó
atingiu,reached,elért
saberemos,We will know,Tudni fogjuk
encontrarmos,we find,találunk
zangado,angry,mérges
criando,creating,létrehozás
notar,notice,értesítés
aparelho,device,eszköz
virei,vile,hitvány
convencido,convinced,meggyőződve
jóias,jewelry,ékszerek
interrogatório,questioning,megkérdőjelezés
perfume,perfume,parfüm
embaixador,ambassador,nagykövet
álbum,album,album
neto,grandchild,unoka
termo,term,kifejezés
paige,Paige,Pamid
namorando,falling in love,szerelembe esni
excitante,exciting,izgalmas
funcionam,work,munka
carregando,loading,Betöltés
britânico,British,angol
satélite,satellite,műhold
monsieur,Monsieur,Úr
passear,to stroll,sétálni
stanley,Stanley,Stanley
brigando,fight,harc
tracy,Tracy,Tracy
this,this,ez
namorar,to fall in love,beleszeretni
conceito,concept,koncepció
warren,Warren,Háborút
penny,Penny,Penny
postos,posts,poszt
disparar,shoot,lő
ferir,hurt,sért
barcos,boat,hajó
gabriel,Gabriel,Gabriel
processar,process,folyamat
canadá,Canada,Kanada
descrição,description,leírás
von,von,von
solitária,solitary,magányos
perseguindo,chasing,üldözés
rolando,rolling,gördülő
chip,chip,Forgács
queens,Queens,Királynők
liderança,leadership,vezetés
mistura,mixture,keverék
prossiga,proceed,folytassa
turnê,tour,túra
artes,Art,Művészet
emprestar,to loan,kölcsönözni
dificuldades,difficulties,nehézségek
shopping,mall,pláza
quinze,fifteen,tizenöt
escolas,schools,iskolák
jornalista,journalist,újságíró
sentiria,would feel,érezené
lo,it,azt
mantendo,keeping,tartás
lutou,fought,harcolt
janeiro,January,január
instinto,instinct,ösztön
políticos,politicians,politikusok
complexo,complex,összetett
age,act,törvény
violento,violent,erőszakos
praticar,to practice,gyakorolni
criminal,criminal,Bűnügyi
chegam,arrive,megérkezik
fígado,liver,máj
invadir,to break into,betörni
lógica,logic,logika
morando,live,élő
entenderam,They understood,Megértették
incrivelmente,incredibly,hihetetlenül
feridas,wounds,sebek
estivessem,were,voltak
tortura,torture,kínzás
seth,Seth,Seth
escrita,writing,írás
comentários,comments,Hozzászólások
rosas,roses,rózsa
tremendo,shivering,reszketés
prove,prove,bizonyít
maya,Maya,Maya
tomo,tome,nekem
interesses,interests,érdeklődés
cuidarei,I will take care,vigyázni fogok
conspiração,conspiracy,összeesküvés
morava,lived,élt
ocupados,busy,elfoglalt
feminino,feminine,nőies
rostos,faces,arcok
surpreendente,surprising,meglepő
norman,Norman,normann
quintal,yard,udvar
brilho,shine,ragyog
vosso,your,a te
andei,Andei,Andei
formação,training,kiképzés
ajudem,Help,Segítség
apanhar,to take,elvenni
níveis,levels,szint
fraca,weak,gyenge
flórida,florida,Florida
sydney,Sydney,Sydney
feira,fair,becsületes
ombros,shoulders,vállak
surgiu,emerged,kialakult
doenças,illnesses,betegségek
conforme,according to,alapján
sábio,wise,bölcs
falhar,fail,kudarcot vall
ajudará,help to,Segíteni
cabe,fits,illik
trailer,trailer,filmelőzetes
combina,combine,kombájn
bart,bart,bart
descobriram,discovered,felfedezett
jersey,Jersey,Jersey
experiências,experiences,tapasztalat
parente,relative,relatív
envolvida,involved,magában foglal
nua,naked,meztelen
áreas,areas,terület
sentados,seated,ülő
eli,Eli,Eli
vestidos,dresses,ruhák
loira,blonde,szőke
agosto,August,augusztus
long,Long,Hosszú
votação,vote,szavazás
fiel,faithful,hűséges
deverá,should,kellene
função,function,funkció
contatos,contacts,kapcsolattartó
viciado,addicted,függő
bagagem,baggage,poggyász
dirija,driving,vezetés
willie,Willie,Willie
curiosidade,curiosity,kíváncsiság
preocupo,worry,aggodalom
ramo,branch,ág
irem,go,megy
julian,Julian,Julian
colin,Colin,Kolin
subiu,climbed,felmászott
reconhecimento,recognition,elismerés
batata,potato,burgonya
pescar,to fish,halászni
impressionado,impressed,lenyűgözött
equipes,teams,csapatok
kitty,Kitty,Cica
congresso,congress,Kongresszus
edição,edition,kiadás
fama,fame,hírnév
pagam,pay,fizetés
mostram,show,előadás
sortudo,lucky you,szerencsés vagy
considerado,considered,figyelembe vett
publicidade,advertising,hirdető
orelhas,ears,fülek
vendas,sales,értékesítés
ana,a-N-A,A-N-A
envie,send,Küld
sorrir,to smile,mosolyogni
decidido,decided,határozott
christine,Christine,Christine
toalha,towel,törülköző
dance,dance,tánc
candidato,candidate,jelölt
corram,run,fuss
chutar,kick,rúgás
nascido,born,született
civilização,civilization,civilizáció
cidadão,citizen,polgár
isca,bait,csali
digital,digital,digitális
francesa,French,Francia
parceira,partner,partner
cento,one -sided,egyoldalú
daremos,we will give,Adunk adunk
sobrenome,surname,vezetéknév
mando,command,parancs
iraque,Iraq,Irak
got,got,kapott
poeira,dust,por
atreve,dare,merészel
hall,hall,előszoba
invisível,invisible,láthatatlan
frutas,fruits,gyümölcsök
cenas,scenes,jelenetek
promoção,promotion,promóció
dissemos,We said,Azt mondtuk
adrian,Adrian,Adrianus
quanta,how much,mennyi
gwen,Gwen,Gwen
chegarem,come,jön
estátua,statue,szobor
atirando,firing,égetés
atrasados,delayed,késleltetett
caído,fallen,elesett
orelha,ear,fül
recusou,refused,megtagadta
garçom,waiter,pincér
feridos,wounded,sebesült
autópsia,autopsy,boncolás
tigre,tiger,tigris
pato,duck,kacsa
alternativa,alternative,alternatív
informado,informed,tájékozott
consulta,Query,Lekérdezés
mira,mira,Mira
mitch,mitch,bukás
sonhei,I dreamed,álmodtam
adorava,LOVED,Szeretett
lento,slow,lassú
fraqueza,weakness,gyengeség
eventualmente,possibly,esetleg
sorrindo,smiling,mosolygás
sandy,sandy,homokos
vela,candle,gyertya
organizar,organize,szervez
roda,wheel,kerék
conflito,conflict,konfliktus
aperte,Press,nyomja meg
israel,Israel,Izrael
execução,execution,végrehajtás
clay,Clay,Agyag
audrey,Audrey,Audrey
conseguido,obtained,megszerzett
comuns,common,gyakori
inconsciente,unconscious,öntudatlan
juízo,judgment,ítélet
stone,stone,kő
online,online,online
césar,Caesar,Caesar
bonitos,pretty,szép
gina,ginn,ginn
novembro,November,november
milho,corn,kukorica
restos,remains,maradványok
estresse,stress,feszültség
bebo,bebo,boebo
debbie,debbie,Debbie
cola,Glue,Ragasztó
rita,rite,rítus
colegial,high school,Gimnázium
traje,costume,kosztüm
estragou,Spoiled,Elkényeztetett
cante,corner,sarok
sabedoria,wisdom,bölcsesség
heather,heather,hanga
jenna,jenna,Jenna
tiras,strips,csíkok
karl,karl,karl
apropriado,appropriate,megfelelő
desaparecida,missing,hiányzó
conclusão,conclusion,következtetés
segui,followed,követte
sairmos,go out,eljár szórakozni
out,out,ki
compreender,to understand,megérteni
down,down,le-
custou,cost,költség
estável,stable,stabil
adoram,They worship,Imádják
global,global,globális
esposas,wifes,feleségek
harper,Harper,Harper
vigiando,watchman,őr
bonnie,bonnie,bonnie
cria,create,teremt
misericórdia,compassion,együttérzés
prestar,render,Vakol
wendy,wendy,wendy
armazém,storage,tárolás
vinda,coming,eljövetel
monica,monica,Monica
esportes,sports,sport
April,April,április
reféns,hostage,túsz
profunda,deep,mély
privado,private,magán
substituir,to replace,cserélni
noah,noah,Noé
shh,shh,SHH
detalhe,detail,Részlet
get,Get,Kap
garantia,guarantee,garancia
bacana,nice,szép
pediram,asked,kérdezte
sintomas,symptoms,tünetek
ando,walk,séta
convenceu,convinced,meggyőződve
comprando,shopping,bevásárlás
contanto,provided,biztosítani
pop,pop,pop
zack,Zack,Zack
sejamos,let's be,legyünk
extraordinário,extraordinary,rendkívüli
leslie,leslie,Leslie
dêem,give,adni
apos,after,után
horror,horror,borzalom
recorde,record,rekord
eternidade,eternity,örökkévalóság
seguido,followed,követte
apareça,show up,megjelenik
procurou,searched,átkutatott
ídolo,idol,bálvány
taco,taco,taco
profissionais,professionals,szakemberek
doer,hurt,sért
leonard,leonard,Leonard
incomodando,bothering,zavaró
